herkomst,doel,e-nummer,naam,opmerkingen,kleur,soort
Extractie uit geelwortel (Curcuma longa),Gele kleurstof,E100,Curcumine,,GROEN,Kleurstoffen
Verschillende soorten gisten,Gele kleurstof,E101,Riboflavine,Andere naam: vitamine B2,GROEN,Kleurstoffen
Synthetisch,Gele kleurstof,E102,Tartrazine,"De ADI is tot 7,5 mg/kg lichaamsgewicht. Kan overgevoeligheidsreacties geven bij een kleine groep mensen.",ROOD,Kleurstoffen
Wortel van de alkanet (Alkanna tinctoria),Gele kleurstof,E103,Alkannine,Sinds 1984 verboden,ROOD,Kleurstoffen
Synthetisch,Gele kleurstof,E104,Chinolinegeel,,ROOD,Kleurstoffen
Verschillende soorten gisten,Gele kleurstof,E106,natriumriboflavine-5'-fosfaat,,ROOD,Kleurstoffen
Synthetisch,Gele kleurstof,E107,Geel 2G,,ROOD,Kleurstoffen
Synthetisch,Gele kleurstof,E110,Zonnegeel FCF,,ROOD,Kleurstoffen
Een schildluizensoort,Rode kleurstof,E120,Cochenille,,ROOD,Kleurstoffen
,Rode kleurstof,E121,Citrusrood 2,"Carcinogeen, wordt in de EU niet meer toegelaten",ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E122,Karmozijnrood,,ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E123,Amaranth,,ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E124,Cochenillerood A,,ROOD,Kleurstoffen
,,E125,Ponceau SX,,ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E127,Erythrosine,,ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E128,Rood 2G,,ROOD,Kleurstoffen
Synthetisch,Rode kleurstof,E129,Allura rood,,ROOD,Kleurstoffen
Synthetisch,Blauwe kleurstof,E131,Patentblauw V,,ROOD,Kleurstoffen
Synthetisch,Blauwe kleurstof,E132,Indigotine,,ROOD,Kleurstoffen
Synthetisch,Blauwe kleurstof,E133,Briljantblauw FCF,,ROOD,Kleurstoffen
"Natuurlijke kleurstof, bladgroen",Donkergroene kleurstof,E140,Chlorofyl,,GROEN,Kleurstoffen
Semi-synthetische,Donkergroene kleurstof,E141,Chlorofyl koper complexen,,ORANJE,Kleurstoffen
Synthetisch,Groene kleurstof,E142,Briljantzuurgroen BS,,ROOD,Kleurstoffen
,Groene kleurstof,E143,Fast Green FCF,,ROOD,Kleurstoffen
Gebrande suiker,Bruine kleurstof,E150a,Karamelkleurstof,,ORANJE,Kleurstoffen
Gebrande suiker,Bruine kleurstof,E150b,Alkali-sulfietkaramel,,ORANJE,Kleurstoffen
Gebrande suiker,Bruine kleurstof,E150c,Ammoniakkaramel,,ORANJE,Kleurstoffen
Gebrande suiker,Bruine kleurstof,E150d,Sulfiet-ammoniakkaramel,,ORANJE,Kleurstoffen
Synthetisch,Zwarte kleurstof,E151,Briljantzwart BN,,ROOD,Kleurstoffen
